Rank,City_country,Attribute,Value
37,"Sydney, Australia",Food,130.32
37,"Sydney, Australia",Cigarettes 20 Pack,13
37,"Sydney, Australia",Public Transport,90
37,"Sydney, Australia",Petrol 50L ,61.5
37,"Sydney, Australia",Utility bills ,185
37,"Sydney, Australia",Internet 60mbps ,60.95
37,"Sydney, Australia",Gym monthly ,71.27
37,"Sydney, Australia",Cinema (1 ticket),15
37,"Sydney, Australia",Levi 501 Jeans,52.61
37,"Sydney, Australia",Nike runners,83.83
38,"Canberra, Australia",Food,109.9
38,"Canberra, Australia",Cigarettes 20 Pack,11.09
38,"Canberra, Australia",Public Transport,94.65
38,"Canberra, Australia",Petrol 50L ,117.5
38,"Canberra, Australia",Utility bills ,145.68
38,"Canberra, Australia",Internet 60mbps ,35.02
38,"Canberra, Australia",Gym monthly ,107.93
38,"Canberra, Australia",Cinema (1 ticket),11.09
38,"Canberra, Australia",Levi 501 Jeans,76.31
38,"Canberra, Australia",Nike runners,108.41
39,"Adelaide, Australia",Food,97.34
39,"Adelaide, Australia",Cigarettes 20 Pack,15.81
39,"Adelaide, Australia",Public Transport,126.45
39,"Adelaide, Australia",Petrol 50L ,107
39,"Adelaide, Australia",Utility bills ,234.35
39,"Adelaide, Australia",Internet 60mbps ,59.14
39,"Adelaide, Australia",Gym monthly ,48.43
39,"Adelaide, Australia",Cinema (1 ticket),13.67
39,"Adelaide, Australia",Levi 501 Jeans,86.95
39,"Adelaide, Australia",Nike runners,91.58
40,"Portland, OR, United States",Food,95.49
40,"Portland, OR, United States",Cigarettes 20 Pack,27.18
40,"Portland, OR, United States",Public Transport,147.73
40,"Portland, OR, United States",Petrol 50L ,69
40,"Portland, OR, United States",Utility bills ,133.25
40,"Portland, OR, United States",Internet 60mbps ,50.66
40,"Portland, OR, United States",Gym monthly ,57.5
40,"Portland, OR, United States",Cinema (1 ticket),14.27
40,"Portland, OR, United States",Levi 501 Jeans,76.13
40,"Portland, OR, United States",Nike runners,104.46
41,Data Unavailable for this city,No data for this city,0
42,"Netanya, Israel",Food,101.48
42,"Netanya, Israel",Cigarettes 20 Pack,11.36
42,"Netanya, Israel",Public Transport,32.5
42,"Netanya, Israel",Petrol 50L ,61.5
42,"Netanya, Israel",Utility bills ,143.7
42,"Netanya, Israel",Internet 60mbps ,68.88
42,"Netanya, Israel",Gym monthly ,25
42,"Netanya, Israel",Cinema (1 ticket),12
42,"Netanya, Israel",Levi 501 Jeans,40.71
42,"Netanya, Israel",Nike runners,73.8
43,"New Orleans, LA, United States",Food,121.84
43,"New Orleans, LA, United States",Cigarettes 20 Pack,11
43,"New Orleans, LA, United States",Public Transport,96
43,"New Orleans, LA, United States",Petrol 50L ,60
43,"New Orleans, LA, United States",Utility bills ,166.22
43,"New Orleans, LA, United States",Internet 60mbps ,67.55
43,"New Orleans, LA, United States",Gym monthly ,49.06
43,"New Orleans, LA, United States",Cinema (1 ticket),14
43,"New Orleans, LA, United States",Levi 501 Jeans,45.36
43,"New Orleans, LA, United States",Nike runners,84.43
44,"Ramat Gan, Israel",Food,89.81
44,"Ramat Gan, Israel",Cigarettes 20 Pack,9.69
44,"Ramat Gan, Israel",Public Transport,59.01
44,"Ramat Gan, Israel",Petrol 50L ,117
44,"Ramat Gan, Israel",Utility bills ,95.4
44,"Ramat Gan, Israel",Internet 60mbps ,22.8
44,"Ramat Gan, Israel",Gym monthly ,33.1
44,"Ramat Gan, Israel",Cinema (1 ticket),15.28
44,"Ramat Gan, Israel",Levi 501 Jeans,92.5
44,"Ramat Gan, Israel",Nike runners,87.18
45,"Perth, Australia",Food,84.96
45,"Perth, Australia",Cigarettes 20 Pack,14.76
45,"Perth, Australia",Public Transport,77.49
45,"Perth, Australia",Petrol 50L ,94.5
45,"Perth, Australia",Utility bills ,230.32
45,"Perth, Australia",Internet 60mbps ,39.77
45,"Perth, Australia",Gym monthly ,34.85
45,"Perth, Australia",Cinema (1 ticket),15.07
45,"Perth, Australia",Levi 501 Jeans,62.53
45,"Perth, Australia",Nike runners,78.41
46,"Beirut, Lebanon",Food,110.91
46,"Beirut, Lebanon",Cigarettes 20 Pack,10.54
46,"Beirut, Lebanon",Public Transport,63.22
46,"Beirut, Lebanon",Petrol 50L ,105
46,"Beirut, Lebanon",Utility bills ,168.17
46,"Beirut, Lebanon",Internet 60mbps ,33.95
46,"Beirut, Lebanon",Gym monthly ,39.38
46,"Beirut, Lebanon",Cinema (1 ticket),10.54
46,"Beirut, Lebanon",Levi 501 Jeans,90.32
46,"Beirut, Lebanon",Nike runners,79.03
47,"Tel Aviv-Yafo, Israel",Food,122.48
47,"Tel Aviv-Yafo, Israel",Cigarettes 20 Pack,9.69
47,"Tel Aviv-Yafo, Israel",Public Transport,112.5
47,"Tel Aviv-Yafo, Israel",Petrol 50L ,84
47,"Tel Aviv-Yafo, Israel",Utility bills ,157.63
47,"Tel Aviv-Yafo, Israel",Internet 60mbps ,68.6
47,"Tel Aviv-Yafo, Israel",Gym monthly ,41.67
47,"Tel Aviv-Yafo, Israel",Cinema (1 ticket),18
47,"Tel Aviv-Yafo, Israel",Levi 501 Jeans,51.85
47,"Tel Aviv-Yafo, Israel",Nike runners,87.5
48,"Raleigh, NC, United States",Food,118.93
48,"Raleigh, NC, United States",Cigarettes 20 Pack,11.06
48,"Raleigh, NC, United States",Public Transport,69.76
48,"Raleigh, NC, United States",Petrol 50L ,105
48,"Raleigh, NC, United States",Utility bills ,184.48
48,"Raleigh, NC, United States",Internet 60mbps ,38.89
48,"Raleigh, NC, United States",Gym monthly ,36.27
48,"Raleigh, NC, United States",Cinema (1 ticket),13.12
48,"Raleigh, NC, United States",Levi 501 Jeans,84.83
48,"Raleigh, NC, United States",Nike runners,93.08
49,"Philadelphia, PA, United States",Food,128.09
49,"Philadelphia, PA, United States",Cigarettes 20 Pack,11
49,"Philadelphia, PA, United States",Public Transport,65
49,"Philadelphia, PA, United States",Petrol 50L ,85.5
49,"Philadelphia, PA, United States",Utility bills ,159.71
49,"Philadelphia, PA, United States",Internet 60mbps ,61.12
49,"Philadelphia, PA, United States",Gym monthly ,35.67
49,"Philadelphia, PA, United States",Cinema (1 ticket),15
49,"Philadelphia, PA, United States",Levi 501 Jeans,46.75
49,"Philadelphia, PA, United States",Nike runners,70.67
50,"Chicago, IL, United States",Food,102.88
50,"Chicago, IL, United States",Cigarettes 20 Pack,5.8
50,"Chicago, IL, United States",Public Transport,52.69
50,"Chicago, IL, United States",Petrol 50L ,94
50,"Chicago, IL, United States",Utility bills ,212.42
50,"Chicago, IL, United States",Internet 60mbps ,40.04
50,"Chicago, IL, United States",Gym monthly ,47.3
50,"Chicago, IL, United States",Cinema (1 ticket),12.64
50,"Chicago, IL, United States",Levi 501 Jeans,97.37
50,"Chicago, IL, United States",Nike runners,99.17
51,"Seoul, South Korea",Food,124.85
51,"Seoul, South Korea",Cigarettes 20 Pack,11.25
51,"Seoul, South Korea",Public Transport,99.5
51,"Seoul, South Korea",Petrol 50L ,79.5
51,"Seoul, South Korea",Utility bills ,140.05
51,"Seoul, South Korea",Internet 60mbps ,67.95
51,"Seoul, South Korea",Gym monthly ,45.73
51,"Seoul, South Korea",Cinema (1 ticket),15.99
51,"Seoul, South Korea",Levi 501 Jeans,59.39
51,"Seoul, South Korea",Nike runners,93.93
52,"Los Angeles, CA, United States",Food,126.75
52,"Los Angeles, CA, United States",Cigarettes 20 Pack,10.28
52,"Los Angeles, CA, United States",Public Transport,66.79
52,"Los Angeles, CA, United States",Petrol 50L ,108.5
52,"Los Angeles, CA, United States",Utility bills ,268.54
52,"Los Angeles, CA, United States",Internet 60mbps ,30.76
52,"Los Angeles, CA, United States",Gym monthly ,84.09
52,"Los Angeles, CA, United States",Cinema (1 ticket),13.06
52,"Los Angeles, CA, United States",Levi 501 Jeans,105.76
52,"Los Angeles, CA, United States",Nike runners,129.14
53,"Auckland, New Zealand",Food,108.45
53,"Auckland, New Zealand",Cigarettes 20 Pack,11.86
53,"Auckland, New Zealand",Public Transport,77.08
53,"Auckland, New Zealand",Petrol 50L ,69.5
53,"Auckland, New Zealand",Utility bills ,182.1
53,"Auckland, New Zealand",Internet 60mbps ,66.15
53,"Auckland, New Zealand",Gym monthly ,36.13
53,"Auckland, New Zealand",Cinema (1 ticket),9.63
53,"Auckland, New Zealand",Levi 501 Jeans,51.88
53,"Auckland, New Zealand",Nike runners,69.17
54,"Wellington, New Zealand",Food,113.91
54,"Wellington, New Zealand",Cigarettes 20 Pack,15
54,"Wellington, New Zealand",Public Transport,80
54,"Wellington, New Zealand",Petrol 50L ,69.5
54,"Wellington, New Zealand",Utility bills ,163.78
54,"Wellington, New Zealand",Internet 60mbps ,62.56
54,"Wellington, New Zealand",Gym monthly ,58.26
54,"Wellington, New Zealand",Cinema (1 ticket),15
54,"Wellington, New Zealand",Levi 501 Jeans,56.05
54,"Wellington, New Zealand",Nike runners,86.95
55,"Melbourne, Australia",Food,103.8
55,"Melbourne, Australia",Cigarettes 20 Pack,6.68
55,"Melbourne, Australia",Public Transport,93.94
55,"Melbourne, Australia",Petrol 50L ,108
55,"Melbourne, Australia",Utility bills ,102.95
55,"Melbourne, Australia",Internet 60mbps ,34.07
55,"Melbourne, Australia",Gym monthly ,43.09
55,"Melbourne, Australia",Cinema (1 ticket),14.53
55,"Melbourne, Australia",Levi 501 Jeans,86.95
55,"Melbourne, Australia",Nike runners,94.14
56,"Pittsburgh, PA, United States",Food,106.28
56,"Pittsburgh, PA, United States",Cigarettes 20 Pack,6.32
56,"Pittsburgh, PA, United States",Public Transport,36.88
56,"Pittsburgh, PA, United States",Petrol 50L ,106
56,"Pittsburgh, PA, United States",Utility bills ,227.08
56,"Pittsburgh, PA, United States",Internet 60mbps ,31.04
56,"Pittsburgh, PA, United States",Gym monthly ,57.3
56,"Pittsburgh, PA, United States",Cinema (1 ticket),8.96
56,"Pittsburgh, PA, United States",Levi 501 Jeans,76.26
56,"Pittsburgh, PA, United States",Nike runners,88.78
57,Data Unavailable for this city,No data for this city,0
58,Data Unavailable for this city,No data for this city,0
59,"Espoo, Finland",Food,90.12
59,"Espoo, Finland",Cigarettes 20 Pack,14.76
59,"Espoo, Finland",Public Transport,73.19
59,"Espoo, Finland",Petrol 50L ,97.5
59,"Espoo, Finland",Utility bills ,226.3
59,"Espoo, Finland",Internet 60mbps ,36.45
59,"Espoo, Finland",Gym monthly ,40.96
59,"Espoo, Finland",Cinema (1 ticket),9.23
59,"Espoo, Finland",Levi 501 Jeans,73.8
59,"Espoo, Finland",Nike runners,101.91
60,"Dallas, TX, United States",Food,108.63
